published date,title,sentiment_score,main_theme
2020-03-29 07:00:00+00:00,Corona: insolvenzverwalter flöther warnt vor aussetzungsgesetz - faz,0.0,monetary policy
2020-03-29 07:00:00+00:00,Vorerst letzter lufthansa-linienflug mit a380 gelandet - spiegel,0.0,inflation
2020-03-29 07:00:00+00:00,Streaming: die besten wirtschafts-dokus - capital.de,0.0,monetary policy
2020-03-30 07:00:00+00:00,Wirtschaft: maschinenring kratzt an der zehn-millionen-marke - augsburger-allgemeine.de,-0.6352,monetary policy
2020-03-30 07:00:00+00:00,„unser wirtschaftsstandort ist in gefahr“ - rp-online.de,-0.5483,sovereign risk
2020-03-30 07:00:00+00:00,"""man muss immer einen schritt vorausdenken"" - sz.de",0.0,sovereign risk
2020-03-31 06:45:41+00:00,Wirtschaft + weiterbildung ausgabe 4/2020 | wirtschaft & weiterbildung | personal - haufe.de,0.0,monetary policy
2020-03-31 07:00:00+00:00,Bau - schwarzbauten dauerthema für behörden - wirtschaft - sz.de,0.0,monetary policy
2020-03-31 07:00:00+00:00,"Blackrock-chef larry fink: ""wenn wir diese krise überstanden haben, wird die welt eine andere sein"" - spiegel",0.0,sovereign risk
2020-03-31 07:00:00+00:00,Unternehmen in der coronakrise: amerikas kriegswirtschaft - spiegel,0.0,monetary policy
2020-03-31 07:00:00+00:00,Michael schulz in den senat der wirtschaft berufen - inar.de,0.0,monetary policy
2020-03-31 07:00:00+00:00,470.000 betriebe zeigen wegen corona-krise kurzarbeit an - tagesschau.de,0.0,sovereign risk
2020-03-31 07:00:00+00:00,Man: servicebetrieb auch in corona-zeiten - busplaner,0.0,sovereign risk
2020-03-31 07:00:00+00:00,Blackrock-chef larry fink zu corona: wirtschaft wird sich erholen - faz,0.0,monetary policy
2020-03-31 07:00:00+00:00,Wirtschaft: lebensretter im dauereinsatz - ludwigsburg - bietigheimerzeitung.de,0.0,monetary policy
2020-04-01 07:00:00+00:00,Die wirtschaft in heiligenhafen leidet - fehmarn24.de,-0.8977,monetary policy
2020-04-01 07:00:00+00:00,Polen: neuer 24plus-partner erontrans - transport - die zeitung für den güterverkehr,0.0,sovereign risk
2020-04-01 07:00:00+00:00,Hamsterkäufe in corona-angst: der klopapierkomplex - spiegel,0.0,monetary policy
2020-04-01 07:00:00+00:00,Kiel - staatsanwaltschaft kiel prüft neue vorwürfe gegen sig sauer - wirtschaft - sz.de,0.0,monetary policy
2020-04-01 07:00:00+00:00,Corona-krise: adidas entschuldigt sich - und zahlt miete - tagesschau.de,-0.5604,monetary policy
2020-04-01 07:00:00+00:00,"""wirtschaftsweise"": kabinett beruft erstmals zwei frauen in sachverständigenrat - spiegel",0.0,monetary policy
2020-04-01 07:00:00+00:00,„der kapitän eines schiffes bleibt an bord“ - fr.de,0.0,sovereign risk
2020-04-01 07:00:00+00:00,Bundesregierung bekommt zwei weibliche wirtschaftsweise - sz.de,0.0,monetary policy
2020-04-01 07:00:00+00:00,Auf ihm ruhen viele hoffnungen der wirtschaft - badische-zeitung.de,0.0,monetary policy
2020-04-01 07:00:00+00:00,Jubiläum: 65 jahre setra clubbusse - busplaner,0.0,sovereign risk
2020-04-02 07:00:00+00:00,Corona-krise: us-arbeitsmarkt im freien fall - tagesschau.de,-0.4969,sovereign risk
2020-04-02 07:00:00+00:00,"""wir haben die türen dicht gemacht"" - spiegel",0.0,sovereign risk
2020-04-02 07:00:00+00:00,"""altersarmut ist programmiert"" - sz.de",0.0,sovereign risk
2020-04-02 07:00:00+00:00,35 millionen jeden tag - ff-bz.com,0.0,economic growth
2020-04-02 07:00:00+00:00,Corona: deutschland hat viermal so viele intensivbetten wie italien - faz,0.0,sovereign risk
2020-04-02 07:00:00+00:00,Wirtschaftsfolgen von covid-19 - was eine rezession für deutschland bedeutet - deutschlandfunk,0.0,monetary policy
2020-04-02 07:00:00+00:00,Coronavirus: 80 000 erntearbeiter dürfen einreisen - sz.de,0.0,sovereign risk
2020-04-02 07:00:00+00:00,Corona-krise: stuttgarter flughafen wird vorübergehend geschlossen - spiegel,-0.654,sovereign risk
2020-04-02 07:00:00+00:00,Wie zwei super-münzen die us-wirtschaft retten könnten - dw.com,0.6773,sovereign risk
2020-04-02 07:00:00+00:00,5 kreative unternehmen - ff-bz.com,0.0,sovereign risk
2020-04-02 07:00:00+00:00,Hunderte tafeln schließen - die soziale not steigt - sz.de,0.0,sovereign risk
2020-04-02 07:00:00+00:00,Deutsche firmen in china kommen nur langsam in schwung - spiegel,0.0,economic growth
2020-04-02 07:09:14+00:00,Systemrelevant - fakten für eine demokratische und nachhaltige wirtschaft - hans-böckler-stiftung,0.0,sovereign risk
2020-04-03 07:00:00+00:00,"""2020 ist für die wirtschaft gelaufen"", sagt der rossmann-chef - business insider deutschland",0.0,monetary policy
2020-04-03 07:00:00+00:00,Coronavirus: an diesem tag könnte der shutdown in deutschland enden - welt,-0.7795,sovereign risk
2020-04-03 07:00:00+00:00,Covid-19: digitale wirtschaft schickt mitarbeiter ins homeoffice - notebookcheck.com,0.0,sovereign risk
2020-04-03 07:00:00+00:00,"Wirtschaft: arbeitsagentur-chef – ziel ist, kündigungen zu verhindern - insüdthüringen",0.0,monetary policy
2020-04-03 07:00:00+00:00,Usa: riesige kredit-ausfälle befürchtet - berliner-zeitung.de,-0.6164,interest rates
2020-04-03 07:00:00+00:00,Wie jetzt zahlungen aufgeschoben werden können - sz.de,0.0,monetary policy
2020-04-04 07:00:00+00:00,„wirtschaft nicht gegen menschenleben ausspielen“ - ksta.de,0.0,monetary policy
2020-04-04 07:00:00+00:00,So könnten die reichen für die coronakrise zahlen - spiegel,0.0,monetary policy
2020-04-04 07:00:00+00:00,Wirtschaftsweise monika schnitzer zu corona-impfstoff - sz.de,0.0,monetary policy
2020-04-05 07:00:00+00:00,Aktienmärkte - dax bleibt fest im griff der corona-krise - wirtschaft - sz.de,0.0,interest rates
2020-04-05 07:00:00+00:00,Nahaufnahme - gut vernetzt - wirtschaft - sz.de,0.0,monetary policy
2020-04-05 07:00:00+00:00,Wirtschaft: großes interesse an online-plattform für lokalen handel - insüdthüringen,0.0,economic growth
2020-04-06 07:00:00+00:00,Die vergessenen der coronakrise - spiegel,0.0,sovereign risk
2020-04-06 07:00:00+00:00,"Anke schweda, ihk, zur einrichtung des portals ""osnabrück bringt’s"" › wir - wir | wirtschaft regional",0.0,monetary policy
2020-04-06 07:00:00+00:00,Mitarbeiter-tracking: überwachung im home-office - sz.de,0.0,sovereign risk
2020-04-06 07:00:00+00:00,Dubai und saudi-arabien: so brutal ist corona-absturz für die wirtschaft - finanzmarktwelt.de,-0.8929,monetary policy
2020-04-06 07:00:00+00:00,Sei ein regional-superheld - wirtschaft.eifel.info,0.0,sovereign risk
2020-04-06 07:00:00+00:00,Airbnb in coronakrise: so leiden die vermieter - spiegel,-0.7686,sovereign risk
2020-04-06 07:00:00+00:00,"Serie ""grünes wirtschaften"" (1) - grün statt grenzenlos: ist ein anderes wachstum möglich? - deutschlandfunk",0.0,monetary policy
2020-04-06 07:00:00+00:00,Firma aus dem südwesten: kärcher produziert 400 feldküchen für die bundeswehr - esslinger-zeitung.de,0.0,sovereign risk
2020-04-07 07:00:00+00:00,Corona-krise: wegen „existentiell bedrohenden folgen“ - obi und hagebau verärgern lieferanten - merkur.de,-0.8291,sovereign risk
2020-04-07 07:00:00+00:00,Wirtschaft: nördlinger unternehmen schließt - augsburger-allgemeine.de,0.0,monetary policy
2020-04-07 07:00:00+00:00,Corona: lufthansa beendet betrieb von germanwings - faz,-0.5975,inflation
2020-04-07 07:00:00+00:00,Schuon: mehr kapazitäten für lithium-ionen-batterien - transport - die zeitung für den güterverkehr,0.0,sovereign risk
2020-04-08 07:00:00+00:00,Prognose: wirtschaft wird sich mittelfristig kräftig erholen - deutsche handwerks zeitung,0.0,monetary policy
2020-04-08 07:00:00+00:00,„man hätte der krise zuvorkommen können“ - deutschlandfunk,-0.6063,sovereign risk
2020-04-08 07:00:00+00:00,"Marode brücken, vernachlässigte schienen investitionsstau der bahn wächst um drei milliarden euro - tagesspiegel.de",0.0,public debt
2020-04-08 07:00:00+00:00,Corona-pandemie: rezession beschert der welt die noch größere katastrophe - welt,-0.921,sovereign risk
