Unnamed: 0,url,title,description,published,publisher,source,matched_pattern,week,relevance_score,matched_keywords,date,date_clean,title_translated,sentiment_score
0,https://news.google.com/rss/articles/CBMi7gFBVV95cUxQNlRGaENPdFY5dndsdEVpNXgySHItTEJSZGZKcy1zR0d0UkZYRnh5Qlp4TG5wX3QzckJTUU9aaWNxT3ctNHdWRWdoNkxiS3BzZ2xreEg2UlA0QkMwSzlPemdYSERDMkRaaDRHbXNVdFh6NHhUY3NDQmcxOGVCUVJSVGowU1prUVIxV0RJQm91dDVqZFR6S2JLOEU4bFM2dUFzbEtfVml3aFNnNm1uQjJDVTB4TTB1ckMyeUtCTzVpNUNXOHVRQ3BBaTJVS1dpS3BsbklEbERYRWM0QXUyZGItdURnU3Y2YnRUd1IyMnF3?oc=5&hl=en-US&gl=US&ceid=US:en,Emmanuel Macron crée France Travail pour atteindre l’objectif de plein-emploi en 2027 - Le Monde.fr,Emmanuel Macron crée France Travail pour atteindre l’objectif de plein-emploi en 2027  Le Monde.fr,"Mon, 01 Jan 2024 08:00:00 GMT","{'href': 'https://www.lemonde.fr', 'title': 'Le Monde.fr'}",lemonde.fr,lemonde,2024-01-01,4,['emploi'],2024-01-01 08:00:00,2024-01-01,Emmanuel Macron created France Travail to achieve the goal of full employment in 2027 - Le Monde.fr,0.0
1,https://news.google.com/rss/articles/CBMijAJBVV95cUxQZzJROGVZLVIweDhGcDNvU3d0MTZfUnNRNFJPYjltVHh1WEFfZkNjREMteExSV1htZGpIZ3RyTi1LbWJ4cFpKa3BuaDhIR3VFbVRESmlZbW1PbVM4NXlrYUE2Y3gxamZzblpVSm1yUWN4T2dkeWRhaDcxV3pHaWxfdDVTN0dfd21leW45VGhrWGoyaHdvWENRbWRfQ0ltWVg4SWVxaGRaY2RzTjNTRnp3TS1PaFZoZ0owRVlOYk5GOVUtWnhPdmZTNnZyVG1ReVRqelpPOF9lRjdXa0tpREtHX2Rpa2RrTkR1TVB3MXhOZnVyT0lWWjlXZ1R4VlFqZmxIN3FhdC1JMzdYQURa?oc=5&hl=en-US&gl=US&ceid=US:en,"Pauvreté et politique gouvernementale, Rassemblement national et solidarité... Le 8h30 franceinfo de Pascal Brice - franceinfo","Pauvreté et politique gouvernementale, Rassemblement national et solidarité... Le 8h30 franceinfo de Pascal Brice  franceinfo","Tue, 02 Jan 2024 08:00:00 GMT","{'href': 'https://www.franceinfo.fr', 'title': 'franceinfo'}",franceinfo.fr,franceinfo,2024-01-01,4,['gouvernement'],2024-01-02 08:00:00,2024-01-02,"Poverty and government policy, National rally and solidarity... Le 8h30 franceinfo de Pascal Brice - franceinfo",0.0
2,https://news.google.com/rss/articles/CBMi-gFBVV95cUxQVW9ORjhTUE9lU09keGxOZGI1YzRNcXBZcEtna280WG5RbVRlUloxN21qWjByZmFKOVpYZWNGRU5PRWVnMDFlLVY0dTNTWG15Tk5DTXlhZWQwbkU2NUhrMTZDaEJ5VXA4UW5NR0ZQUXdaUmdmOHo5cUptSXptNG5kSy04TkM5d2pGZTlpREhzX0NlUU9oWUtUZTFld01lN1d5dHpDZlIxVlhiTk9YTTFHRGI0UUVoSlRKV3JoSzFRSjdXbHlWLUJtQzM4MnNidmNxaTU5NS1YV08wY21iSXpFbTBrSUNGUnZoUTIzUnI4cWVYbEp5TTdjdXN3?oc=5&hl=en-US&gl=US&ceid=US:en,Bilan 2023 : la récession aux Etats-Unis a été évitée mais le rebond de la Chine a fait long feu - Les Echos,Bilan 2023 : la récession aux Etats-Unis a été évitée mais le rebond de la Chine a fait long feu  Les Echos,"Thu, 04 Jan 2024 08:00:00 GMT","{'href': 'https://investir.lesechos.fr', 'title': 'Les Echos'}",investir.lesechos.fr,echos,2024-01-01,6,['récession'],2024-01-04 08:00:00,2024-01-04,2023 Review: The recession in the United States was avoided but China's rebound has been slow - Les Echos,-0.6637
3,https://news.google.com/rss/articles/CBMiyAFBVV95cUxQY3J4UUVGY2NJeTIxYWZXWGlMQlhXM2dWN09CS0o4YjdqS3BQMlQ3U1lmc2szV2p3ZlhvUkNXdW5sek1wTEF3U0pnZlZfdHFwb1BqVjBmWFBrckxncS1xNTNNRU5jWVNib01sZUdjenVPVURBcnV0TDdnNUJwSXBxXzdBc3BwZDgweWJxcTJkTG5vRDJwZVhrSXFQTVhfZm1uZ3BQdGpNTmxBU1dBc2dqM0s5LUZUVnhabDBrbExNWHRhcWdMSlNaRw?oc=5&hl=en-US&gl=US&ceid=US:en,Morgan Stanley obtient le « go » de la BCE pour ses traders à Paris - Les Echos,Morgan Stanley obtient le « go » de la BCE pour ses traders à Paris  Les Echos,"Thu, 04 Jan 2024 08:00:00 GMT","{'href': 'https://www.lesechos.fr', 'title': 'Les Echos'}",lesechos.fr,echos,2024-01-01,10,['bce'],2024-01-04 08:00:00,2024-01-04,Morgan Stanley Gets ECB Go for Traders in Paris - Les Echos,0.0
4,https://news.google.com/rss/articles/CBMilgJBVV95cUxQOUR4M2h4N1VUTFBMSEdiRnVlWHY3Z19Ua0hoNEV6eXZLT2NiaUZqRzk4cUlER1RvUzFkQnJvVnVqSVdBWF9iYi14MW9SY3ZCallPNDJ2MlZGZlZ4WGIxRk4xNHVGeEx5cWFLYkhNOGxFWmNFRXZkZzE4TkxoU05SRU5USG14Qml6dlB0Z0p0U2ZSRF84VVdpMUtvN3RFb2dHa1BnUDQ0cUZxbDk3cWQ5dmhJUW5MVVEycm1lemhKc2hyZE03Nm9sTzg5aTExMWtLX1pjaHRqQzVMSkFYRFRfUk4wX2E1dHFSb2g5LVJseE9XYUZuRHhCdXRGZlRmZmJXdVk3dW96SHNGZVBuSmJ5LTczYV9xZw?oc=5&hl=en-US&gl=US&ceid=US:en,"Avec la chute du géant de la finance de l'ombre Zhongzhi, la Chine connaît l'une des plus grandes faillites de son histoire - Les Echos","Avec la chute du géant de la finance de l'ombre Zhongzhi, la Chine connaît l'une des plus grandes faillites de son histoire  Les Echos","Fri, 05 Jan 2024 08:00:00 GMT","{'href': 'https://www.lesechos.fr', 'title': 'Les Echos'}",lesechos.fr,echos,2024-01-01,4,['faillites'],2024-01-05 08:00:00,2024-01-05,"With the fall of the shadow finance giant Zhongzhi, China has one of the biggest bankruptcies in its history - Les Echos",-0.9426
5,https://news.google.com/rss/articles/CBMiowJBVV95cUxPVHF4MExYdmc4eUE0VHd4bWdWOU9TS0p1VlNyYjZmSkNhSksyTUNmaVhGLXBibmp5UElGYnhDMWhqRXl0UUpYdHdWdmhlZmRqbXNGSU9sTGxRUlRCejhQWVVRNVNydUpjUGZmbG1aRkJvUXBOX21fbVlVOFVvaU9nV1ZvQkI2TndNWlhDQnROdVFmaWh6bG93QUNUb2U5d1Z3aDRhOTZYYnJHSTkzTEFpaC1MTmhMNFBPaFlCUXRYQlB0anQ2S1lMOVpHRzQ2UVlRTlZPRjlWUFZxaXpxQXhYRWI4dUpmWlIzelNxRVc2WnducmFUUEUxU1R2WVNoSEJPVElZcGRpY1Q2Z1NYWXNjVDFUWlFMUUdsU3dCY3ItMWI2WDg?oc=5&hl=en-US&gl=US&ceid=US:en,« La raison du ralentissement de la croissance de la productivité est simple : les inventions ont moins d’effet économique qu’autrefois » - Le Monde.fr,« La raison du ralentissement de la croissance de la productivité est simple : les inventions ont moins d’effet économique qu’autrefois »  Le Monde.fr,"Fri, 05 Jan 2024 08:00:00 GMT","{'href': 'https://www.lemonde.fr', 'title': 'Le Monde.fr'}",lemonde.fr,lemonde,2024-01-01,8,"['croissance', 'ralentissement']",2024-01-05 08:00:00,2024-01-05,"""The reason for the slowdown in productivity growth is simple: inventions have less economic effect than in the past"" - Le Monde.fr",0.0
6,https://news.google.com/rss/articles/CBMiygFBVV95cUxNQ3FEa2xqT3ZDQnN5aWxDNjNabFU5TUVsVHFmYWFvRjJ3Q2VadEFReXJ4U2tqQW5SR2Zya3cwbGJ1RHVrOXluTkJOVFkxb2dhRllPd0U0bWZ3Q1kta0lTNHFzN3V4LUF2Yjl6LTFhRVp4NndsbEY2b0g0aDY2NGNpVnpTUkg3ay0tVHBYajhCeGI3NVdXdUxvdU5YbEk5Q3k2T3BNUlhJQ3NSUXhhMENrVXFzcWt3azBqNEFWUnFfZU5rRXJ0VUZINU9R?oc=5&hl=en-US&gl=US&ceid=US:en,"En Ouganda, le rêve des milliards du pétrole éclipse le climat - Le Monde.fr","En Ouganda, le rêve des milliards du pétrole éclipse le climat  Le Monde.fr","Tue, 09 Jan 2024 08:00:00 GMT","{'href': 'https://www.lemonde.fr', 'title': 'Le Monde.fr'}",lemonde.fr,lemonde,2024-01-09,4,['pétrole'],2024-01-09 08:00:00,2024-01-09,"In Uganda, the dream of billions of oil eclipses the climate - Le Monde.fr",0.0
7,https://news.google.com/rss/articles/CBMi0gFBVV95cUxQV2NvRU9ScGtxMk4zY2ktbmUtcHRGMnhLZUpaZXNET255REZ3Uzk1ajNRMGh5LXRNdGd5clpLOEp6WkdXaTBYdHh3dkMxNXVHbWQ0Si1VVURobUs2cEpkODRSanBMMW9tdTR3UnhOWHFaZEpKT04zaW5wZ0NQOWgzSjVaT2x6MzBMZHBudkdTcDFzeHBQcHR1NHBISUxrTUZUNWRIM1U5a2F6ZWsyN1NYTENvcE9ycXRDY29OXzJQSFNxblJhaVIyNHN0S25aTDFsNmc?oc=5&hl=en-US&gl=US&ceid=US:en,Hyperinflation : panorama des impacts sur les états financiers consolidés IFRS - LE MONDE DU CHIFFRE,Hyperinflation : panorama des impacts sur les états financiers consolidés IFRS  LE MONDE DU CHIFFRE,"Tue, 09 Jan 2024 08:00:00 GMT","{'href': 'https://www.lemondeduchiffre.fr', 'title': 'LE MONDE DU CHIFFRE'}",lemondeduchiffre.fr,lemonde,2024-01-09,10,['inflation'],2024-01-09 08:00:00,2024-01-09,Hyperinflation: Overview of Impacts on Consolidated Financial Statements IFRS - THE FIGURES WORLD,0.0
8,https://news.google.com/rss/articles/CBMiyAFBVV95cUxOQUU3MHNEQzhodnB2NzVaOWstUmlQcldmY3ppRmxTSllZSENFRV9hU3hjWXB6aXE1SHY4N0pGbEtMUkpCVlNLaWtiZzQ0Nk8tdUVkeGQ2TEN0RDdvaWl6M0pRUTJ3Yl93Z1JDVXhmcS1QMjE0ZlcxTE1PeDFxTG84VjEwbVN3b3BVWnRFYXhRQUN3Q3NDTjdkamEtd1RyNnh3SzJjUlVpaERpLWdsdmpMSTIweFhuNS1XbXVseGdqNmhXeTBjSkxDdg?oc=5&hl=en-US&gl=US&ceid=US:en,Financement : le dernier gimmick en vogue chez les fonds de dette - Les Echos,Financement : le dernier gimmick en vogue chez les fonds de dette  Les Echos,"Tue, 09 Jan 2024 08:00:00 GMT","{'href': 'https://www.lesechos.fr', 'title': 'Les Echos'}",lesechos.fr,echos,2024-01-09,6,['dette'],2024-01-09 08:00:00,2024-01-09,Financing: the latest gimmick in vogue in debt funds - Les Echos,0.0
9,https://news.google.com/rss/articles/CBMizwFBVV95cUxNNmUwQmE3bXRtbHZ1STRqd3RoLWg2ZDlabEd3bW1aelB4Q2lHZWx0MnN6Tm1ucG5YZ05TOU9VSFpKUzEwQnE0R2x6SlNvZzhBQWI4ZW5LNVBCbEgzNVFzQTVVU0pwOG9qbk1vTnRYMVVwd3NYcVYxWHRpWEdXYVZoa1lUcktCajdJdVdyRkdwSDZoNHFYQ3VDNVoydWdmOXhZbkV1TmM5SDBpVFp5ZWl2ZUdUM2J6ajMtTnlDZDV6a2FBLTZPMF9icFRuX0oySmc?oc=5&hl=en-US&gl=US&ceid=US:en,Croissance : la Banque mondiale redoute une décennie perdue de développement - Les Echos,Croissance : la Banque mondiale redoute une décennie perdue de développement  Les Echos,"Tue, 09 Jan 2024 08:00:00 GMT","{'href': 'https://www.lesechos.fr', 'title': 'Les Echos'}",lesechos.fr,echos,2024-01-09,4,['croissance'],2024-01-09 08:00:00,2024-01-09,Growth: the World Bank fears a lost decade of development - Les Echos,0.0
